code	POPESTIMATE2019
US_AK	4903185
US_AL	731545
US_AR	7278717
US_AZ	3017804
US_CA	39512223
US_CO	5758736
US_CT	3565287
US_DE	973764
US_DC	705749
US_FL	21477737
US_GA	10617423
US_HI	1415872
US_ID	1787065
US_IL	12671821
US_IN	6732219
US_IA	3155070
US_KS	2913314
US_KY	4467673
US_LA	4648794
US_ME	1344212
US_MD	6045680
US_MA	6892503
US_MI	9986857
US_MN	5639632
US_MS	2976149
US_MO	6137428
US_MT	1068778
US_NE	1934408
US_NV	3080156
US_NH	1359711
US_NJ	8882190
US_NM	2096829
US_NY	19453561
US_NC	10488084
US_ND	762062
US_OH	11689100
US_OK	3956971
US_OR	4217737
US_PA	12801989
US_RI	1059361
US_SC	5148714
US_SD	884659
US_TN	6829174
US_TX	28995881
US_UT	3205958
US_VT	623989
US_VA	8535519
US_WA	7614893
US_WV	1792147
US_WI	5822434
US_WY	578759
US_VI	106977
